Number,Price,Baths,Rooms,Heating,Floors,Parking,Size,Toilets
410,51500,1,3,1,2,1,82,2
411,29950,1,2,1,2,3,61,2
412,34500,1,3,1,2,1,75,1
413,29000,1,3,0,2,0,51,1
414,32500,1,3,0,2,0,62,1
415,29950,1,2,1,2,4,57,1
416,55000,1,3,1,2,4,98,1
417,28950,1,2,1,2,0,53,1
418,56000,2,3,1,2,2,68,3
419,57500,2,4,1,2,1,78,3
420,30250,1,3,0,2,0,57,1
421,42950,1,3,1,2,3,66,1
422,58750,1,3,1,2,1,72,1
423,76500,1,3,1,1,4,108,1
424,79500,1,3,1,1,1,112,1
425,41950,1,3,1,2,1,87,1
426,27500,1,2,1,2,0,60,1
427,59950,1,4,1,2,1,88,2
428,32950,1,2,0,1,3,55,1
429,36995,1,2,1,2,1,60,1
430,47950,1,4,1,3,1,127,2
431,45000,2,4,1,3,1,139,2
432,46500,1,3,1,2,1,84,1
433,59995,1,4,1,2,1,92,2
434,34995,1,3,1,2,1,70,1
436,65950,1,2,1,1,1,71,2
437,110000,2,4,1,2,2,101,1
438,185000,3,8,1,4,4,496,5
439,31950,1,3,0,2,0,74,1
440,28500,1,1,0,2,4,35,1
442,55950,1,3,1,2,2,74,2
443,31950,1,2,1,2,3,50,1
444,68500,1,4,1,2,2,100,2
445,52500,1,4,1,2,1,79,2
446,35000,1,2,1,1,0,47,1
447,27500,1,2,0,2,0,51,1
449,69500,1,3,1,2,1,82,1
450,28250,1,2,0,1,1,61,1
451,39950,1,3,1,2,1,75,1
452,58950,1,4,1,2,1,104,1
453,77500,1,3,1,2,1,105,1
454,97500,1,5,1,2,2,161,3
455,55950,1,4,1,2,2,89,2
456,54995,1,4,1,2,3,92,1
457,41950,1,3,1,2,1,59,1
458,30000,1,2,0,2,0,66,1
459,42950,1,3,1,2,1,83,1
460,25500,1,2,0,2,3,48,1
461,67950,2,4,1,2,2,94,3
462,31500,1,1,0,1,4,39,1
463,32950,1,3,0,2,4,63,1
464,38950,1,4,1,2,1,89,2
465,62500,1,4,1,2,1,110,2
466,51000,1,3,0,2,1,75,1
467,52950,1,3,1,2,1,75,1
468,61950,1,3,1,2,1,76,2
469,157500,2,4,1,2,2,97,2
470,69950,2,2,1,2,4,97,2
471,57950,1,3,1,2,2,79,1
472,26950,1,2,0,2,0,51,1
473,77950,1,4,1,2,1,113,2
474,52000,1,3,1,2,2,71,1
475,70000,1,3,1,2,1,97,1
476,72950,1,3,1,2,1,88,2
477,95000,2,4,1,2,2,188,2
478,46950,1,3,1,2,4,81,1
479,69950,1,4,1,2,2,104,2
480,42950,1,3,1,2,1,66,2
481,36950,1,3,1,2,1,69,1
482,72950,1,3,1,2,2,105,1
483,53000,1,2,1,1,1,60,1
484,115000,2,4,1,2,2,155,3
485,78000,1,4,1,2,1,96,2
486,53500,1,4,1,2,1,78,2
487,27995,1,2,1,2,0,55,2
488,69450,2,2,1,1,1,73,2
489,59500,1,2,1,1,1,44,1
490,63450,2,2,1,1,1,64,2
